Status,Material_Description,Material_Code,Code_Material,RK,Tahun,Created_On_SAP,No_Order,Batch,Batch_Ke,GB_Mesin_L1,GB_Mesin_L2,GB_Yield_Kg_L1,GB_Yield_Kg_L2,GB_Tanggal_CB_L1,GB_Tanggal_CB_L2,GB_Kadar_Air_L1,GB_Kadar_Air_L2,GB_Keterangan,GK_Mesin_L1,GK_Mesin_L2,GK_Yield_Kg_L1,GK_Yield_Kg_L2,GK_Tanggal_CK_L1,GK_Tanggal_CK_L2,GK_Keterangan,Cetak_Mesin,Cetak_Tgl_Mulai,Cetak_Tgl_Selesai,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Cetak_Keterangan,Cetak_Total,Kemas_Mesin,Kemas_Tgl_Mulai,Kemas_Tgl_Selesai,Kemas_Yield_Blister,Kemas_Pct_Teoritis,Kemas_Keterangan,Kemas_Total,Kemul_Tambahan,Tgl_Kemul,Mesin_Sealing,Sealing,Forming,Hasil_Blister_Reject,Tablet_Rusak_Kg,Sampah_Cacahan_Kg,Blister_Kosong_Kg,Waste_Sedotan_Kg,Waste_Sample_IPC_Kg
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,2024-12-30 00:00:00,200104540,010804,9,CB  1,,465,,2024-01-09 00:00:00,,"4,78/4,42/4,79",,SELESAI,,CK  2,,329.9,,2024-01-09 00:00:00,SELESAI,,2024-01-09 00:00:00,2024-01-10 00:00:00,780,0.975,Selesai ,1,BP 20,2024-01-12 00:00:00,2024-01-15 00:00:00,243395,0.97358,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,2024-12-30 00:00:00,200104541,010814,10,CB  1,,467.3,,2024-01-09 00:00:00,,"4,54/4,69/4,53",,SELESAI,,CK  2,,330.2,,2024-01-09 00:00:00,SELESAI,,2024-01-10 00:00:00,2024-01-10 00:00:00,780,0.975,Selesai ,1,BP 20,2024-01-15 00:00:00,2024-01-16 00:00:00,243435,0.97374,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,15.12.2023,200104542,010824,11,CB  1,,462,,2024-09-11 00:00:00,,"4,71/4,59/4,64",,SELESAI,,CK  2,,330.1,,2024-01-10 00:00:00,SELESAI,,2024-01-11 00:00:00,2024-01-12 00:00:00,773,0.96625,Selesai ,1,BP 20,2024-01-16 00:00:00,2024-01-16 00:00:00,241533,0.966132,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,03.01.2024,200104620,011124,12,CB  1,,464.4,,2024-09-11 00:00:00,,"4,54/4,57/4,66",,SELESAI,,CK  2,,330.1,,2024-01-10 00:00:00,SELESAI,,2024-01-12 00:00:00,2024-01-12 00:00:00,777,0.97125,Selesai ,1,BP 20,2024-01-16 00:00:00,2024-01-18 00:00:00,242609,0.970436,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,01,2024,03.01.2024,200104621,011134,13,CB  1,,466.1,,2024-09-12 00:00:00,,"4,74/H4,67/4,50",,SELESAI,,CK  2,,330.11,,2024-01-11 00:00:00,SELESAI,,2024-01-12 00:00:00,2024-01-12 00:00:00,478,0.5975,Selesai ,1,BP 20,2024-01-18 00:00:00,2024-01-18 00:00:00,144320,0.57728,SELESAI ( JALAN TANPA TITIK ),1,300,2024-06-19 00:00:00,MTX 514,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,02,2024,17.01.2024,200104726,020184,1,CB  1,,464.7,,2024-01-19 00:00:00,,"4,77/4,54/4,48",,SELESAI,,CK  2,,329.9,,2024-01-19 00:00:00,SELESAI,,2024-01-23 00:00:00,2024-01-24 00:00:00,775,0.96875,Selesai ,1,BP 20,2024-01-26 00:00:00,2024-01-29 00:00:00,240183,0.960732,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,02,2024,17.01.2024,200104727,020194,2,CB  1,,464,,2024-01-19 00:00:00,,"4,70/4,73/4,57",,SELESAI,,CK  2,,330,,2024-01-19 00:00:00,SELESAI,,2024-01-24 00:00:00,2024-01-24 00:00:00,775,0.96875,Selesai ,1,BP 20,2024-01-26 00:00:00,2024-01-26 00:00:00,241402,0.965608,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,02,2024,17.01.2024,200104728,020204,3,CB  1,,463,,2024-01-22 00:00:00,,"4,74/4,55/4,47",,SELESAI,,CK  2,,320.2,,2024-01-19 00:00:00,SELESAI,,2024-01-24 00:00:00,2024-01-25 00:00:00,773,0.96625,Selesai ,1,BP 20,2024-02-01 00:00:00,2024-02-02 00:00:00,241377,0.965508,SELESAI,1,,,,,,,,,,,
s,BODREX EXTRA KAPLET/4'S,BTRA,001-09-01,02,2024,17.01.2024,200104729,020214,4,CB  1,,463,,2024-01-22 00:00:00,,"4,66/4,64/4,52",,SELESAI,,CK  2,,330.3,,2024-01-23 00:00:00,SELESAI,,2024-01-25 00:00:00,2024-01-25 00:00:00,780,0.975,Selesai ,1,BP 20,2024-01-30 00:00:00,2024-01-31 00:00:00,243388,0.973552,SELESAI,1,,,,,,,,,,,
